Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,,spot,,basis,fundingRate,,,,,
1.57E+12,10/14/2019 10:00,8296.84,8313.23,8288.49,8305,1568.765,1.57E+12,13025067.72,3098,868.292,7208577.328,0,,8307.06,-2.060001353,0.999752018,0,0,1,-0.507156769,,
1.57E+12,10/14/2019 11:00,8304.94,8304.94,8276.01,8279.61,1652.791,1.57E+12,13705536.37,3450,775.232,6428133.095,0,,8280.32,-0.709996038,0.999914255,0,0,1,-0.348038059,,
1.57E+12,10/14/2019 12:00,8277.61,8279.73,8241.19,8253.67,3062.101,1.57E+12,25301511.95,6249,1447.977,11963323.48,0,,8256,-2.330000064,0.999717781,0,0,1,-0.540735714,,
1.57E+12,10/14/2019 13:00,8254.14,8285,8251.09,8283.69,2360.49,1.57E+12,19527592.36,4804,1164.77,9634361.555,0,,8286.73,-3.040003474,0.999633148,0,0,1,-0.623742019,,
1.57E+12,10/14/2019 14:00,8283.93,8285.95,8260,8260.49,1584.002,1.57E+12,13103747.9,2612,614.193,5080826.919,0,,8262.09,-1.600003301,0.999806344,0,0,1,-0.453874947,,
1.57E+12,10/14/2019 15:00,8260.84,8274.21,8245.77,8251.5,2051.874,1.57E+12,16950372.91,3049,1046.559,8644269.111,0,,8251.94,-0.440001693,0.999946679,0,0,1,-0.316237267,,
1.57E+12,10/14/2019 16:00,8252.34,8381.77,8205.02,8329.76,12520.258,1.57E+12,104034221.2,14144,6489.641,53922087.89,0,,8332.83,-3.069997894,0.999631578,0.0001,0,1,-0.625281843,,
1.57E+12,10/14/2019 17:00,8329.72,8355,8318.78,8325.48,6000.274,1.57E+12,50008674.7,7779,2897.691,24149669.22,0,,8326.97,-1.490003031,0.999821063,0,0,1,-0.439438854,,
1.57E+12,10/14/2019 18:00,8325.9,8353.95,8324.39,8353.95,2595.816,1.57E+12,21642412.8,3291,1212.149,10106168.56,0,,8354.42,-0.47000296,0.999943742,0,0,1,-0.319117816,,
1.57E+12,10/14/2019 19:00,8353.64,8372.47,8321.22,8327.16,3438.836,1.57E+12,28692454.13,3377,1642.148,13699262.29,0,,8327.96,-0.800000494,0.999903938,0,0,1,-0.35815676,,
1.57E+12,10/14/2019 20:00,8327.16,8342.34,8322.37,8332.96,1964.054,1.57E+12,16363148.37,2080,642.003,5348240.099,0,,8338.14,-5.18000277,0.999378758,0,0,1,-0.873242496,,
1.57E+12,10/14/2019 21:00,8332.97,8347,8251.16,8303.23,5343.009,1.57E+12,44330469.72,7159,2531.722,21000991.1,0,,8305,-1.770003125,0.999786875,0,0,1,-0.472969741,,
1.57E+12,10/14/2019 22:00,8304.29,8345,8298.03,8334.98,2531.35,1.57E+12,21073827.86,2815,1179.649,9818507.96,0,,8337.66,-2.679999067,0.999678567,0,0,1,-0.579195999,,
1.57E+12,10/14/2019 23:00,8334.93,8347.55,8327.24,8346.05,1648.284,1.57E+12,13742380.95,1747,698.693,5826904.005,0,,8348.2,-2.150003776,0.999742459,0,0,1,-0.51653204,,
1.57E+12,10/15/2019 0:00,8346.31,8408.62,8340.7,8352.04,3138.709,1.57E+12,26273795.42,5224,1665.745,13946223.26,0,,8356.4,-4.360001838,0.999478244,0.0001,0,1,-0.775668674,,
1.57E+12,10/15/2019 1:00,8351.11,8360.85,8323.73,8327,1486.873,1.57E+12,12402123.34,3203,716.893,5979205.521,0,,8328.29,-1.290002151,0.999845106,0,0,1,-0.415857975,,
1.57E+12,10/15/2019 2:00,8327.26,8334.36,8311,8329.83,1159.904,1.57E+12,9655154.791,2713,400.187,3331103.31,0,,8332.68,-2.850001542,0.999657973,0,0,1,-0.59939417,,
1.57E+12,10/15/2019 3:00,8329.83,8330.55,8311,8313.69,1182.66,1.57E+12,9841573.026,2381,474.825,3951952.207,0,,8315.19,-1.50000207,0.999819607,0,0,1,-0.440866869,,
1.57E+12,10/15/2019 4:00,8313.96,8328.63,8302,8324.82,1994.775,1.57E+12,16584742.78,3519,964.695,8019697.85,0,,8326.78,-1.95999911,0.999764615,0,0,1,-0.494801891,,
1.57E+12,10/15/2019 5:00,8324.82,8329.41,8314,8324.01,761.291,1.57E+12,6334975.373,1963,223.729,1861792.925,0,,8326.87,-2.859996731,0.999656534,0,0,1,-0.600805512,,
1.57E+12,10/15/2019 6:00,8324.24,8338.45,8285,8300.57,2694.919,1.57E+12,22400030.92,3245,1119.373,9300086.282,0,,8303.05,-2.479996489,0.999701315,0,0,1,-0.556885228,,
1.57E+12,10/15/2019 7:00,8300.57,8312.45,8272,8279.74,2521.738,1.57E+12,20915853.35,2274,1267.333,10510680.98,0,,8281.04,-1.299999064,0.999843015,0,0,1,-0.417908785,,
1.57E+12,10/15/2019 8:00,8278.14,8298.58,8258.33,8279.84,4032.141,1.57E+12,33376923.06,3349,2091.61,17311344.67,0,,8280.76,-0.920000717,0.999888899,0.0001,0,1,-0.372906702,,
1.57E+12,10/15/2019 9:00,8279.36,8288.87,8270.12,8275.96,2127.233,1.57E+12,17613588.3,1858,1100.398,9110422.849,0,,8277.29,-1.330003234,0.999839319,0,0,1,-0.421533745,,
1.57E+12,10/15/2019 10:00,8276.42,8320.15,8271.52,8309.5,3387.975,1.57E+12,28131082.01,2979,1561.601,12963032.93,0,,8310.94,-1.44000333,0.999826734,0,0,1,-0.433876854,,
1.57E+12,10/15/2019 11:00,8309.5,8310.61,8280.35,8294.5,2595.618,1.57E+12,21527372.22,2513,1236.836,10256891.38,0,,8295.85,-1.350000262,0.999837268,0,0,1,-0.423545324,,
1.57E+12,10/15/2019 12:00,8294.23,8322,8285,8314.98,3450.33,1.57E+12,28631327.15,4847,1569.014,13018902.08,0,,8316.55,-1.569998309,0.99981122,0,0,1,-0.449092666,,
1.57E+12,10/15/2019 13:00,8314.58,8317.37,8285.65,8298.12,2339.563,1.57E+12,19421889.52,2840,1103.913,9163869.419,0,,8299.16,-1.040000936,0.999874686,0,0,1,-0.38684652,,
1.57E+12,10/15/2019 14:00,8297.99,8312.72,8235,8258.85,5372.891,1.57E+12,44470784.47,4740,2540.38,21022923.09,0,,8260.44,-1.590002533,0.999807516,0,0,1,-0.452725473,,
1.57E+12,10/15/2019 15:00,8260,8378.51,8238.33,8316.18,11170.062,1.57E+12,92537895.21,9789,5758.577,47702921.97,0,,8316.94,-0.760001977,0.99990862,0,0,1,-0.353564751,,
1.57E+12,10/15/2019 16:00,8316.16,8321.4,8080,8185.9,19403.876,1.57E+12,159249039.4,20267,9278.867,76160467.44,0,,8186.13,-0.229997508,0.999971904,0.0001,0,1,-0.291497106,,
1.57E+12,10/15/2019 17:00,8184.97,8204.48,8159.22,8170.91,2871.362,1.57E+12,23491069.21,3442,1609.239,13165238.46,0,,8168.16,2.749998932,1.000336673,0,0,0,0.066260822,,
1.57E+12,10/15/2019 18:00,8165.92,8181.17,8147.8,8173.68,2235.113,1.57E+12,18250042.48,2865,1222.555,9982070.002,0,,8172.54,1.14000395,1.000139492,0,0,1,-0.127130245,,
1.57E+12,10/15/2019 19:00,8173,8180,8155,8177.46,2090.444,1.57E+12,17082065.39,2276,1323.522,10815630.38,0,,8177.59,-0.129999148,0.999984103,0,0,1,-0.279532578,,
